timestamp,elapsed_seconds,experiment,replicas,cpu_utilization_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,rps,error_rate,active_users
2026-03-17T10:15:00,900,hpa,10,26.8,100.0,147.3,183.9,113.02,0.0014,150
2026-03-17T10:15:15,915,hpa,10,25.4,103.7,156.1,192.3,103.27,0.0012,138
2026-03-17T10:15:30,930,hpa,10,20.5,93.9,142.7,182.3,94.06,0.0013,126
2026-03-17T10:15:45,945,hpa,10,18.17,96.3,145.6,178.7,85.53,0.0024,114
2026-03-17T10:16:00,960,hpa,10,14.73,83.7,115.0,149.9,77.55,0.0009,103
2026-03-17T10:16:15,975,hpa,10,17.55,79.8,119.6,168.1,67.06,0.0006,91
2026-03-17T10:16:30,990,hpa,10,11.69,86.5,125.1,173.9,62.76,0.0007,80
2026-03-17T10:16:45,1005,hpa,9,16.34,90.2,141.4,181.1,51.45,0.0014,68
2026-03-17T10:17:00,1020,hpa,8,18.05,93.2,131.9,178.5,41.96,0.0005,56
2026-03-17T10:17:15,1035,hpa,7,12.42,88.6,130.3,167.1,34.25,0.0014,45
2026-03-17T10:17:30,1050,hpa,6,5.29,90.2,125.2,147.3,24.91,0.0011,33
2026-03-17T10:17:45,1065,hpa,5,5.76,89.3,121.0,150.4,15.37,0.001,21
2026-03-17T10:18:00,1080,hpa,4,4.68,79.1,115.8,146.7,4.66,0.0,10
